time,high,low,open,close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,S_10,Corr,d_20,5EMA,10EMA,20EMA,mean,returns,volume
2020-04-24 23:00:00,7512.83,7492.26,7494.04,7509.44,7494.04,7512.77,7534.36,7529.59,7524.92,7517.03,7520.55,7514.18,7516.094,-0.18234699263204326,6875.95,7511.466001164732,7515.112240059171,7506.759455484344,7502.545,0.2054966346590042,4689249.63
2020-04-25 00:00:00,7518.82,7445.98,7509.44,7476.36,7509.44,7494.04,7512.77,7534.36,7529.59,7524.92,7517.03,7520.55,7513.3240000000005,0.18835452355430102,6875.46,7499.7640007764885,7508.066378230231,7503.86426924774,7482.4,-0.4405122086333991,12687590.16
2020-04-25 01:00:00,7503.82,7460.34,7476.36,7495.09,7476.36,7509.44,7494.04,7512.77,7534.36,7529.59,7524.92,7517.03,7511.414999999999,0.3119110848465156,6862.3,7498.206000517658,7505.707036733826,7503.028624557478,7482.08,0.25052298177188465,6112048.09
2020-04-25 02:00:00,7510.16,7483.25,7495.09,7500.93,7495.09,7476.36,7509.44,7494.04,7512.77,7534.36,7529.59,7524.92,7509.4529999999995,0.33227320959650114,6857.27,7499.114000345105,7504.838484600403,7502.828755552004,7496.705,0.07791767677239561,3985054.93
2020-04-25 03:00:00,7527.69,7498.64,7500.93,7527.69,7500.93,7495.09,7476.36,7509.44,7494.04,7512.77,7534.36,7529.59,7510.518999999998,0.17410949868408745,6810.28,7508.639333563403,7508.9933055821475,7505.19649311848,7513.165,0.3567557622854674,3384441.41
2020-04-25 04:00:00,7530.46,7507.82,7527.69,7526.67,7527.69,7500.93,7495.09,7476.36,7509.44,7494.04,7512.77,7534.36,7510.694,-0.10569847597165202,6786.32,7514.649555708936,7512.207250021756,7507.241589011958,7519.139999999999,-0.013549973497839672,3519495.41
2020-04-25 05:00:00,7566.88,7524.63,7526.67,7566.2,7526.67,7527.69,7500.93,7495.09,7476.36,7509.44,7494.04,7512.77,7514.3550000000005,0.09593838446064162,6795.15,7531.83303713929,7522.024113654164,7512.856675772723,7545.755,0.5251990588135224,9254337.72
2020-04-25 06:00:00,7591.98,7539.32,7566.2,7588.48,7566.2,7526.67,7527.69,7500.93,7495.09,7476.36,7509.44,7494.04,7519.767,0.5466592395189491,6785.22,7550.71535809286,7534.10700208068,7520.058897127702,7565.65,0.29446750019824675,13129872.64
2020-04-25 07:00:00,7598.25,7552.78,7588.48,7563.14,7588.48,7566.2,7526.67,7527.69,7500.93,7495.09,7476.36,7509.44,7524.803999999999,0.6200234751399338,6782.51,7554.856905395241,7539.385728975101,7524.161859306016,7575.514999999999,-0.33392721599054404,8376295.989999999
2020-04-25 08:00:00,7577.65,7522.54,7563.14,7554.12,7563.14,7588.48,7566.2,7526.67,7527.69,7500.93,7495.09,7476.36,7530.812,0.5826533347704561,6789.79,7554.611270263494,7542.064687343265,7527.015015562585,7550.094999999999,-0.11926263430268957,9842887.03
2020-04-25 09:00:00,7570.07,7540.95,7554.12,7566.19,7554.12,7563.14,7588.48,7566.2,7526.67,7527.69,7500.93,7495.09,7536.486999999999,0.6119086706466808,6777.67,7558.47084684233,7546.4511078263085,7530.745966461387,7555.51,0.15978035826806708,5400196.12
2020-04-25 10:00:00,7573.14,7538.98,7566.19,7568.16,7566.19,7554.12,7563.14,7588.48,7566.2,7526.67,7527.69,7500.93,7545.6669999999995,0.6221654563071228,6762.05,7561.700564561553,7550.398179130615,7534.309207750779,7556.0599999999995,0.026036882499649822,10023636.52
2020-04-25 11:00:00,7604.42,7521.51,7568.16,7541.1,7568.16,7566.19,7554.12,7563.14,7588.48,7566.2,7526.67,7527.69,7550.268000000001,0.4004815255433944,6787.78,7554.833709707702,7548.707601106867,7534.955949869754,7562.965,-0.35755058032599063,15961292.530000001
2020-04-25 12:00:00,7564.85,7535.5,7541.1,7558.61,7541.1,7568.16,7566.19,7554.12,7563.14,7588.48,7566.2,7526.67,7556.035999999998,0.21029364378384582,6797.24,7556.092473138468,7550.5080372692555,7537.208716548825,7550.175,0.2321942422192957,4217797.96
2020-04-25 13:00:00,7598.77,7558.52,7558.61,7598.64,7558.61,7541.1,7568.16,7566.19,7554.12,7563.14,7588.48,7566.2,7563.131000000001,0.3256375146020481,6804.42,7570.274982092313,7559.2593032203,7543.059314972746,7578.645,0.5295947270728435,7245231.0200000005
2020-04-25 14:00:00,7604.55,7551.48,7598.64,7586.07,7598.64,7558.61,7541.1,7568.16,7566.19,7554.12,7563.14,7588.48,7569.070999999999,0.21765277661237187,6783.21,7575.539988061541,7564.133975362063,7547.155570689627,7578.014999999999,-0.16542433909226675,12716779.14
2020-04-25 15:00:00,7708.4,7519.87,7586.07,7528.72,7586.07,7598.64,7558.61,7541.1,7568.16,7566.19,7554.12,7563.14,7565.322999999999,-0.06712314378092754,6794.49,7559.933325374361,7557.695070750779,7545.39980205252,7614.135,-0.7559909149269577,47134296.669999994
2020-04-25 16:00:00,7565.19,7492.5,7528.72,7555.82,7528.72,7586.07,7598.64,7558.61,7541.1,7568.16,7566.19,7554.12,7562.057000000001,0.13167355999706745,6786.77,7558.562216916241,7557.354148796092,7546.392201857042,7528.844999999999,0.3599549458606437,19083088.78
2020-04-25 17:00:00,7560.49,7528.5,7555.82,7545.62,7555.82,7528.72,7586.07,7598.64,7558.61,7541.1,7568.16,7566.19,7560.305,0.12345612356123233,6804.92,7554.248144610828,7555.220667196802,7546.318658823037,7544.495,-0.1349952751653668,6477403.99
2020-04-25 18:00:00,7548.78,7531.0,7545.62,7537.06,7545.62,7555.82,7528.72,7586.07,7598.64,7558.61,7541.1,7568.16,7558.599,0.04624003783885218,6804.28,7548.518763073885,7551.918727706475,7545.436881792271,7539.889999999999,-0.11344329558074075,4160751.6999999997
2020-04-25 19:00:00,7553.09,7526.47,7537.06,7549.51,7537.06,7545.62,7555.82,7528.72,7586.07,7598.64,7558.61,7541.1,7556.931,0.20061375323902816,6805.85,7548.84917538259,7551.4807772143895,7545.824797812054,7539.780000000001,0.16518377192167524,5311406.71
